id	form	ipa	type	pos	gloss	derived_from	status	notes
L-0038	ur	/ˈur/	root	—	dream	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0039	ak	/ˈak/	root	—	burn	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0040	am	/ˈam/	root	—	water	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0041	ut	/ˈut/	root	—	hear	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0042	ar	/ˈar/	root	—	open	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0043	ir	/ˈir/	root	—	rain	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0044	an	/ˈan/	root	—	fear	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0045	un	/ˈun/	root	—	fall	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0046	ep	/ˈep/	root	—	rise	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0047	us	/ˈus/	root	—	drink	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0048	em	/ˈem/	root	—	hunt	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0049	ek	/ˈek/	root	—	fire	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0050	et	/ˈet/	root	—	tree	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0051	at	/ˈat/	root	—	stone	—	experimental	Generated root candidate; VC root under the current lexical-generation model; no historical derivation claimed.
L-0052	tus	/ˈtus/	root	—	close	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0053	kan	/ˈkan/	root	—	build	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0054	tek	/ˈtek/	root	—	bend	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0055	ket	/ˈket/	root	—	enter	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0056	nar	/ˈnar/	root	—	whisper	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0057	pan	/ˈpan/	root	—	laugh	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0058	muk	/ˈmuk/	root	—	sing	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0059	per	/ˈper/	root	—	remember	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0060	yat	/ˈjat/	root	—	smell	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0061	hak	/ˈhak/	root	—	taste	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0062	yin	/ˈjin/	root	—	run	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0063	ven	/ˈwen/	root	—	swim	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0064	mun	/ˈmun/	root	—	wash	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0065	juk	/ˈjuk/	root	—	cook	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0066	nut	/ˈnut/	root	—	write	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0067	yik	/ˈjik/	root	—	read	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0068	rep	/ˈrep/	root	—	count	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0069	rek	/ˈrek/	root	—	tie	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0070	kap	/ˈkap/	root	—	push	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0071	jek	/ˈjek/	root	—	pull	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0072	rir	/ˈrir/	root	—	snow	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0073	sut	/ˈsut/	root	—	sit	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0074	kik	/ˈkik/	root	—	lie	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0075	net	/ˈnet/	root	—	think	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0076	vis	/ˈwis/	root	—	work	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0077	pam	/ˈpam/	root	—	make	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0078	kat	/ˈkat/	root	—	throw	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0079	han	/ˈhan/	root	—	catch	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0080	mut	/ˈmut/	root	—	light	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0081	mam	/ˈmam/	root	—	shade	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0082	nat	/ˈnat/	root	—	walk	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0083	vep	/ˈwep/	root	—	warm	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0084	pet	/ˈpet/	root	—	cold	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0085	hik	/ˈhik/	root	—	meet	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
L-0086	nit	/ˈnit/	root	—	hide	—	experimental	Generated root candidate; CVC root under the current lexical-generation model; no historical derivation claimed.
